5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_The_majority_has_voted_for_ The_majority_has_voted_for_your_proposal_to_expand_the_Constitutio_{playername}_and_grant_every_citizen_the_civitas_Romana.
qstr_The_majority_has_voted_again The_majority_has_voted_against_your_proposal,_the_Lex_frumentaria_et_agraria.
qstr_The_majority_has_voted_for_y The_majority_has_voted_for_your_proposal_to_enact_the_Lex_frumentaria_et_agraria.
qstr_The_majority_has_voted_agains The_majority_has_voted_against_your_proposal,_the_Lex_militaris.
qstr_The_majority_has_voted_for_yo The_majority_has_voted_for_your_proposal_to_enact_the_Lex_militaris.
qstr_The_majority_has_voted_against The_majority_has_voted_against_your_proposal,_the_Lex_Alimenta.
qstr_The_majority_has_voted_for_you The_majority_has_voted_for_your_proposal_to_enact_the_Lex_Alimenta.
qstr_The_majority_has_voted_against_ The_majority_has_voted_against_your_proposal,_the_Vicesima_Libertatis_Vel_Manumissionum.
qstr_The_majority_has_voted_for_your The_majority_has_voted_for_your_proposal_to_enact_the_Vicesima_Libertatis_Vel_Manumissionum.
qstr_The_majority_has_voted_against_y The_majority_has_voted_against_your_proposal,_to_revoke_the_Edictum_de_libelli.
qstr_The_majority_has_voted_for_your_ The_majority_has_voted_for_your_proposal,_to_revoke_the_Edictum_de_libelli.
qstr_The_majority_has_voted_against_yo The_majority_has_voted_against_your_proposal,_to_revoke_the_Lex_Iulia_et_Papia.
qstr_The_majority_has_voted_for_your_p The_majority_has_voted_for_your_proposal,_to_revoke_the_Lex_Iulia_et_Papia.
qstr_The_majority_has_voted_against_you The_majority_has_voted_against_your_proposal,_to_revoke_the_Edictum_Christiani.
qstr_The_majority_has_voted_for_your_pr The_majority_has_voted_for_your_proposal,_to_revoke_the_Edictum_Christiani.
qstr_The_majority_has_voted_against_your The_majority_has_voted_against_your_proposal,_to_revoke_the_Edictum_securitatis_publica.
qstr_The_majority_has_voted_for_your_pro The_majority_has_voted_for_your_proposal,_to_revoke_the_Edictum_securitatis_publica.
qstr_The_majority_has_voted_against_your_ The_majority_has_voted_against_your_proposal,_to_revoke_the_Lex_frumentaria_et_agraria.
qstr_The_majority_has_voted_for_your_prop The_majority_has_voted_for_your_proposal,_to_revoke_the_Lex_frumentaria_et_agraria.
qstr_The_majority_has_voted_against_your_p The_majority_has_voted_against_your_proposal,_to_revoke_the_Lex_militaris.
qstr_The_majority_has_voted_for_your_propo The_majority_has_voted_for_your_proposal,_to_revoke_the_Lex_militaris.
qstr_The_majority_has_voted_against_your_pr The_majority_has_voted_against_your_proposal,_to_revoke_the_Lex_Alimenta.
qstr_The_majority_has_voted_for_your_propos The_majority_has_voted_for_your_proposal,_to_revoke_the_Lex_Alimenta.
qstr_The_majority_has_voted_against_your_pro The_majority_has_voted_against_your_proposal,_to_revoke_the_Vicesima_Libertatis_Vel_Manumissionum.
qstr_The_majority_has_voted_for_your_proposa The_majority_has_voted_for_your_proposal_to_revoke_the_Vicesima_Libertatis_Vel_Manumissionum.
qstr_The_majority_has_voted_against_your_prop The_majority_has_voted_against_your_proposal,_to_increase_the_rights_of_the_landowners_and_decrease_the_rights_of_the_slaves.
qstr_The_majority_has_voted_for_your_proposal The_majority_has_voted_for_your_proposal,_to_increase_the_rights_of_the_landowners_and_decrease_the_rights_of_the_slaves.
qstr_The_majority_has_voted_against_your_propo The_majority_has_voted_against_your_proposal,_to_increase_the_rights_of_the_slaves_and_decrease_the_rights_of_the_landowners.
qstr_The_majority_has_voted_for_your_proposal_ The_majority_has_voted_for_your_proposal,_to_increase_the_rights_of_the_slaves_and_decrease_the_rights_of_the_landowners.
qstr_The_majority_has_voted_against_your_propos The_majority_has_voted_against_your_proposal,_to_increase_the_rights_of_the_nobles_and_decrease_the_rights_of_the_citizens.
qstr_The_majority_has_voted_for_your_proposal_t The_majority_has_voted_for_your_proposal,_to_increase_the_rights_of_the_nobles_and_decrease_the_rights_of_the_citizens.
qstr_The_majority_has_voted_against_your_proposa The_majority_has_voted_against_your_proposal,_to_increase_the_rights_of_the_citizens_and_decrease_the_rights_of_the_nobles.
qstr_The_majority_has_voted_for_your_proposal_to The_majority_has_voted_for_your_proposal,_to_increase_the_rights_of_the_citizens_and_decrease_the_rights_of_the_nobles.
qstr_The_senators_fear_yo The_senators_fear_you_and_will_most_likely_vote_for_your_proposal,_but_the_people_of_Rome_despise_your_tyranny_and_you_lose_support_among_the_senators.
qstr_Construction_of_bath Construction_of_baths_has_finished!
qstr_The_bath_will_take_a The_bath_will_take_approximately_{reg10}_days_until_its_finished.
qstr_You_have_not_build_t You_have_not_build_the_baths_yet!_Talk_with_{s10}.
qstr_You_need_to_have_at_l You_need_to_have_at_least_200_men.
qstr_The_{s51}_are_hostil The_{s51}_are_hostile_to_you.
qstr_The_{s51}_are_a_trib The_{s51}_are_a_tributary_of_you.
qstr_They_are_a_tributary_ They_are_a_tributary_of_{s40}.
qstr_The_attempt_of_your_ The_attempt_of_your_enemies_to_murder_you_failed._Now_you_should_talk_with_the_commander_of_the_praetorian_guard_{s20}._You_may_also_ask_some_questions_to_the_leader_of_the_conspiracy_you_captured.^______(Hint:_To_question_the_traitor_you_must_talk_to_him_while_he_is_prisoner_of_your_party.)
qstr_The_attempt_of_your_e The_attempt_of_your_enemies_to_murder_you_failed._You_haven't_assigned_a_commander_for_the_praetorian_guard._That_could_have_prevented_the_assassination._You_may_also_ask_some_questions_to_the_leader_of_the_conspiracy_you_captured.^______(Hint:_To_question_the_traitor_you_must_talk_to_him_while_he_is_prisoner_of_your_party.)
qstr_After_the_interrogat After_the_interrogation_of_your_guards_{s20}_was_exposed_as_leader_of_the_conspiracy._Now_it_is_time_to_ask_him_some_questions.
qstr_It_is_up_to_you_what It_is_up_to_you_what_happens_to_the_other_traitors._You_may_execute_them.
qstr_A_messanger_is_sent. A_messanger_is_sent.
qstr_A_runner_is_sent. A_runner_is_sent.
qstr_The_people_of_{s30}_ The_people_of_{s30}_asked_you_to_go_and_talk_with_{s31}_about_the_corrupt_governor_{s33}._You_may_try_to_convince_{s31}_to_appoint_you_as_new_governor.
qstr_The_people_of_{s30}_a The_people_of_{s30}_asked_you_to_inform_the_senate_about_the_corrupt_governor_{s33}._You_may_try_to_convince_the_senate_to_appoint_you_as_new_governor.
qstr_The_other_man_is_not The_other_man_is_not_very_happy_and_criticizes_you_when_you_leave,_generating_unfavorable_rumors.
qstr_Neither_man_is_happy Neither_man_is_happy_or_unhappy._You_seem_to_have_found_a_balance.
qstr_The_two_men_are_not_ The_two_men_are_not_very_happy_and_criticize_you_when_you_leave,_generating_unfavorable_rumors.
qstr_People_in_{s4}_think People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_against_those_who_abuse_their_power._Rumors_spread_that_you_are_nothing_more_than_a_bad_tyrant.
qstr_People_in_{s4}_think_ People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_because_the_messenger_will_not_be_punished._Rumors_spread_that_you_are_unjust.
qstr_People_in_{s4}_think_t People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_because_the_messenger_will_not_be_punished,_but_at_least_their_fellow_citizen_will_not_be_punished._However,_your_men_are_not_happy_with_your_generosity_to_a_man_who_attacked_a_soldier.
qstr_People_in_{s4}_think_th People_in_{s4}_think_that_you_will_guarantee_their_families'_protection,_and_they_seem_happy._However,_your_men_are_not_happy_that_you_will_punish_their_companion.
qstr_The_people_in_{s4}_a The_people_in_{s4}_and_your_troops_are_quite_confused_about_your_verdict._Luckily,_none_of_them_seems_unhappy_with_your_choice.
qstr_The_local_landowner_ The_local_landowner_is_upset_with_you_and_talks_bad_about_you_to_the_elites_of_{s4}.
qstr_The_local_landowner_g The_local_landowner_gives_you_a_heavy_bag_full_of_coins.
qstr_Although_the_farmer_ Although_the_farmer_has_his_daughter_back,_the_noble_didn't_recieved_the_punishment_he_should_have_deserved._Thus_the_other_farmers_in_{s4}_are_concerned_about_their_daughters_as_you_favor_the_powerful_who_take_advantage_of_their_weakness.
qstr_The_landowners_are_a The_landowners_are_angry_and_people_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_against_those_who_abuse_their_power._Rumors_spread_that_you_are_nothing_more_than_a_bad_tyrant.
qstr_That_landowners_of_{ That_landowners_of_{s4}_pay._They_don't_complain_as_they_are_glad_to_have_protection_against_the_abuse_of_your_soldiers.
qstr_The_landowners_are_h The_landowners_are_happy_and_the_people_in_{s4}_think_that_you_will_guarantee_their_families'_protection._However,_your_men_are_not_happy_as_they_think_you_should_protect_them.
qstr_He_still_refuses_to_ He_still_refuses_to_pay_his_taxes_and_thus,_his_property_is_seized_and_he_is_sold_into_slavery._There_is_some_ill_talk_about_you_in_{s4},_but_an_incident_like_this_is_too_common_whereby_it_won't_cause_any_trouble_for_you.
qstr_Eventually_the_man_d Eventually_the_man_dies_in_torment_while_your_soldiers_try_to_force_him_to_pay_his_taxes._His_last_words_were,_'Boys,_beyond,_where_you_are,_I_am_coming.'_The_city_is_shocked_by_his_death,_and_many_people_complain_about_you_in_{s4}.
qstr_People_think_the_mea People_think_the_measure_is_fair_to_both._Although_the_man_who_cut_the_trees_is_disappointed,_that_you_don't_took_his_gift_but_instead_punished_him.
qstr_The_tree_owner_is_no The_tree_owner_is_not_very_happy_and_criticizes_you_when_you_leave,_generating_unfavorable_rumors._On_the_other_hand,_the_man_who_cut_the_trees_is_happy_and_gives_you_the_promised_'gift'.
qstr_The_people_are_surpr The_people_are_surprised_by_your_verdict,_as_it_is_very_uncommon,_that_somebody_is_imprisoned_for_offering_a_bribe._Nevertheless,_they_seem_to_like_your_verdict.
qstr_People_in_{s4}_are_h People_in_{s4}_are_happy_because_you_responded_to_their_needs.
qstr_People_in_{s4}_are_u People_in_{s4}_are_unhappy_with_you_because_you_don't_respond_to_their_needs.
qstr_People_in_{s4}_appre People_in_{s4}_appreciate_your_help,_but_since_you_bought_the_grain_from_the_local_market,_prices_raised_even_more.
qstr_Although_the_merchan Although_the_merchant_supports_your_position_in_{s4},_your_men_think_it_is_a_disgrace_to_have_the_boy_among_them.
qstr_Although_the_merchant Although_the_merchant_pays_you_well,_your_men_think_it_is_a_disgrace_to_have_the_boy_among_them.
qstr_The_merchant_leverag The_merchant_leverages_his_position_to_undermine_yours_in_{s4}_as_punishment_for_you_not_accepting_his_son.
qstr_The_merchant_leverage The_merchant_leverages_his_position_to_undermine_yours_in_{s4}_as_punishment_for_you_not_accepting_his_son._But_his_ill-talk_seems_to_have_less_effect,_as_you_exposed_him_as_being_corrupt.
qstr_As_you_proclaim_the_ As_you_proclaim_the_verdict,_you_can_see_the_fear_of_the_accused._Knowing_that_death_awaits_them_The_girl_throughs_herself_to_your_feets_and_begs_you_to_spare_her_life._One_of_your_guards_removes_her._They_will_be_thrown_to_the_beasts._The_mob_has_what_it_wanted:_A_bloody_spectacle._But_you_doubt_that_they_are_the_real_thieves.
qstr_A_little_town_riot_e A_little_town_riot_emerged_after_you_proclaimed_the_verdict._People_in_{s4}_think_that_you_will_not_guarantee_their_protection_against_thieves_and_robbers._Rumors_spread_that_you_are_weak.
qstr_The_angry_mob_is_not The_angry_mob_is_not_happy_about_your_verdict._But_luckly_a_town_riot_was_prevented._People_in_{s4}_think_that_you_will_not_guarantee_their_protection_because_the_thieves_lifes_are_spared._Rumors_spread_that_you_are_unjust.
qstr_People_in_{s4}_are_ha People_in_{s4}_are_happy_because_you_responded_to_their_needs_and_you_helped_to_prevent_divine_anger.
qstr_People_in_{s4}_are_un People_in_{s4}_are_unhappy_with_you_because_you_don't_respond_to_their_needs_and_you_anger_divine_authorities.
qstr_People_in_{s4}_are_hap People_in_{s4}_are_happy_because_you_responded_to_their_needs_and_you_helped_to_prevent_divine_anger._Your_troops_are_also_happy_about_you_protection_of_their_offsprings.
qstr_People_superstitious People,_superstitious,_are_angry_with_you_and_fear_the_anger_of_divine_authorities._Some_time_later,_you_find_out_that_another_girl_was_sacrificed._Your_troops_are_happy_that_you_protect_their_offsprings.
qstr_The_physician_you_se The_physician_you_send_manages_to_save_some_lives_and_prevent_the_epidemic_from_spreading_to_other_areas.
qstr_The_epidemic_wipes_o The_epidemic_wipes_out_the_population_of_the_village._Although_your_measures_prevented_anyone_from_spreading_the_disease_beyond_{s4},_many_lost_relatives_who_lived_in_the_village._The_rumor_spreads_that_you_are_a_murderer.
qstr_As_you_proclaim_the_v As_you_proclaim_the_verdict,_you_can_see_the_fear_of_the_accused._He_will_be_thrown_to_the_beasts._The_mob_has_what_it_wanted:_A_bloody_spectacle._But_on_the_next_day,_the_temple_treasury_was_stolen_again._He_couldn't_be_the_thief._The_people_of_{s4}_are_angry_with_you,_and_say_you_have_killed_an_innocent.
qstr_A_small_town_riot_em A_small_town_riot_emerged_after_you_proclaimed_the_verdict._People_in_{s4}_think_that_you_will_not_guarantee_their_protection_against_thieves_and_robbers._However,_on_the_next_day_the_temple_treasury_was_stolen_again._Maybe_the_accused_man_was_the_thief?_Some_days_later_you_are_informed_that_the_accused_man_was_murdered_by_a_mob.
qstr_The_angry_mob_is_not_ The_angry_mob_is_not_happy_about_your_verdict._But_luckly_a_town_riot_was_prevented._However,_on_the_next_day_the_temple_treasury_was_stolen_again._The_angry_mob_gathered_and_killed_the_accused_man._People_in_{s4}_think_that_you_will_not_guarantee_their_protection_against_thieves_and_robbers.
qstr_The_landowner_was_no The_landowner_was_not_happy_about_your_decision_and_spreads_rumors_of_your_unjust_behavior_damaging_your_reputation_and_renown.
qstr_The_woman_was_not_ha The_woman_was_not_happy_about_your_decision_and_spreads_the_word_of_your_corruption.
qstr_The_woman_seems_happ The_woman_seems_happy_about_your_decision_and_spreads_word_that_you_are_a_honorable_man.
qstr_The_woman_gives_you_ The_woman_gives_you_a_sack_full_of_coins._She_seems_a_bit_angry_to_pay_for_a_purely_bureaucratic_act._She_spreads_the_word_of_your_greed.
qstr_You_personally_infor You_personally_inform_the_woman,_by_visiting_her_at_home._As_she_understands_what_you_want_from_her_she_is_shocked,_but_since_she_needs_this_bureaucratic_act_to_be_done,_she_accepts_your_demand..._The_rumors_were_correct,_the_woman_is_indeed_one_of_the_most_beautiful_you_ever_encountered_in_bed.
qstr_The_rich_woman_s_hus The_rich_woman's_husband,_who_happens_to_be_a_large_landowner_in_{s4},_becomes_very_angry_with_you_and_damages_your_reputation.
qstr_The_poor_people_in_{ The_poor_people_in_{s4}_get_angry_when_you_give_the_child_to_a_rich_woman_without_making_a_sincere_determination.
qstr_The_troublemaker_con The_troublemaker_continued_to_raise_unrest_in_{s4}._Now_they_are_openly_against_you_and_a_town_riot_emerged_but_luckily_your_soldiers_were_able_to_restore_order_quickly.
qstr_The_troublemaker_sto The_troublemaker_stops_his_spech_and_is_happy_about_the_money._Now_he_starts_to_praise_your_rule_and_the_people_of_{s4}_are_very_happy_about_you._The_danger_of_a_town_riot_is_past.
qstr_Without_the_troublem Without_the_troublemaker,_the_threat_of_a_riot_in_{s4}_has_passed.
qstr_The_people_of_{s4}_a The_people_of_{s4}_are_very_happy_for_your_help_in_hard_times._But_your_soldiers_are_angry_since_you_don't_protect_them_proper.
qstr_The_people_of_{s4}_ar The_people_of_{s4}_are_angry_that_you_don't_care_about_their_problems._But_your_soldiers_are_happy_and_have_their_fun_with_the_women.
qstr_Angry_with_you_the_f Angry_with_you,_the_farmer_spreads_some_ill_rumor_in_{s4},_but_nothing_serious._He_seems_to_be_happy_to_have_his_wife_and_daughter_back,_while_your_men_are_also_happy_for_not_being_punished.
qstr_The_witch_leaves_the The_witch_leaves_the_town_for_an_unknown_destination._The_angry_mob_is_disappointed,_but_luckily_the_mob_soon_dissipates.
qstr_The_woman_thanks_you The_woman_thanks_you,_you_have_saved_her_life._But_as_she_leaves_the_court,_she_is_attacked_and_killed_by_the_mob._The_mob_blames_you,_not_to_be_able_to_protect_them_properly!
qstr_The_mob_has_what_it_ The_mob_has_what_it_demanded._The_spectacle_was_a_great_success.
qstr_The_woman_was_not_hap The_woman_was_not_happy_about_your_decision_and_her_father_too._He,_as_counsel_member,_spreads_rumors_of_your_unjust_behavior_damaging_your_reputation_and_renown.
qstr_The_man_was_not_happ The_man_was_not_happy_about_your_decision_and_his_father,_the_landowner,_spreads_the_word_of_your_corruption._But_the_'private_meeting'_was_a_total_disasters._Although_the_woman_looked_good_in_her_clothes,_she_looks_terrible_without_them_..._but_there_is_no_way_out_for_you_..._But_the_'meeting'_was_not_for_nothing,_she_enjoyed_it_that_much,_that_she_helps_to_counter_the_rumors_of_the_landowner.
qstr_The_man_was_not_happy The_man_was_not_happy_about_your_decision_and_his_father,_the_landowner,_spreads_the_word_of_your_corruption.
qstr_The_man_pays_the_bri The_man_pays_the_bribe,_but_was_not_happy_about_your_decision_and_spreads_bad_rumors_about_you.
qstr_Your_men_appreciate_ Your_men_appreciate_your_concern_for_their_families.
qstr_Your_men_are_unhappy Your_men_are_unhappy_that_you_don't_take_care_of_their_widows.
qstr_Your_men_are_unhappy_ Your_men_are_unhappy_that_you_don't_take_care_of_their_widows,_but_understand_you_are_strapped_at_the_moment.
qstr_Your_men_appreciate_y Your_men_appreciate_your_concern_for_their_families._The_widow_is_happy_too_and_shows_you_her_'gift':_A_night_you_won't_forget_so_soon...
qstr_Your_men_appreciate_yo Your_men_appreciate_your_concern_for_their_families._The_widow_seems_surprised_that_you_refused_her_'gift',_but_is_happy_about_the_money.
qstr_No_money_no_gift_and No_money,_no_gift_and_your_men_are_unhappy_that_you_don't_take_care_of_their_widows.
qstr_No_money_no_gift._Ad No_money,_no_gift._Additionally,_your_men_are_unhappy_that_you_don't_take_care_of_their_widows,_but_understand_you_are_strapped_at_the_moment.
qstr_The_mob_is_angry_and The_mob_is_angry_and_starts_to_through_stones_at_you._Your_guards_get_rid_of_the_mob_while_you_leave_the_hall_through_a_backdoor.
qstr_The_mob_seems_happy_ The_mob_seems_happy_about_your_decision_and_the_preacher_is_sold_into_slavery.
qstr_The_mob_seems_happy_a The_mob_seems_happy_about_your_decision_and_screams_and_shouts_while_they_watch_how_the_preacher_is_crucified.
qstr_Your_followers_feel_ Your_followers_feel_that_you_will_protect_them_at_any_cost,_but_the_people_in_{s4}_are_not_very_happy_with_your_decision._They_criticize_you_when_you_leave,_generating_unfavorable_rumors._But_luckily,_no_town_riot_emerged.
qstr_Your_followers_feel_t Your_followers_feel_that_you_do_not_protect_them_as_they_deserve_for_their_services,_but_the_people_in_{s4}_are_very_happy_with_your_decision._The_rumor_spreads_that_you_are_just.
qstr_Your_followers_feel_th Your_followers_feel_that_you_do_not_protect_them_as_they_deserve_for_their_services._The_people_in_{s4}_are_not_very_happy_with_your_decision._They_criticize_you_when_you_leave,_generating_unfavorable_rumors._But_luckily,_no_town_riot_emerged.
qstr_The_widow_is_happy_a The_widow_is_happy_and_pays_you_well._On_the_other_hand,_her_brother_is_angry_and_tries_to_spread_ill_rumor_about_you._But_since_he_is_not_very_influential,_he_only_makes_small_damage.
qstr_The_widow_seems_to_b The_widow_seems_to_be_shocked_and_refuses_your_shameful_demand_and_spreads_rumors_about_you,_damaging_your_renown,_reputation_and_relation_with_{s4}.
qstr_The_widow_is_angry_a The_widow_is_angry_and_spreads_rumors_about_you,_damaging_your_renown_and_relation_with_{s4}
qstr_The_widow_is_angry_an The_widow_is_angry_and_spreads_rumors_about_you,_damaging_your_renown_and_relation_with_{s4}._But_since_you_humiliated_her,_people_in_{s4}_don't_really_believe_her_talk.
qstr_The_people_s_busines The_people's_business_dealings_are_not_your_concern._However,_the_situation_does_not_improve._After_prices_reach_twenty_times_previous_levels,_the_new_guild_master_is_found_murdered_with_coins_shoved_down_his_throat._Prices_return_to_normal,_but_the_people_are_angry_you_did_nothing.
qstr_As_ambitious_and_fie As_ambitious_and_fierebrand_as_he_is_in_public,_the_man_makes_the_right_choice_between_silver_and_steel._The_guild's_behavior_becomes_somewhat_more_reasonable_and_citizens_applaude_your_negotiating_skill.
qstr_You_give_fair_warnin You_give_fair_warning_to_the_ambitious_leader_of_tailors,_but_he_is_not_receptive._The_next_day,_tax_collectors_and_soldiers_appear_at_the_guild-affiliated_businesses,_notifying_them_that_a_tailoring_permit_is_now_required_to_operate_their_business_in_the_city,_at_a_modest_price_of_10000_denars_each._The_industry_is_shut_down_and_the_guild_quickly_announces_the_appointment_of_a_new_master,_who_negotiates_reasonable_terms.
qstr_Your_men_are_greeted Your_men_are_greeted_with_cheering_crowds_when_they_march_down_to_the_tailor_shops_all_over_the_city_and_ransack_them._Goods_and_tools_are_destroyed,_tailors_beaten_and_sometimes_worse._The_crowds_had_their_vengence,_but_the_city's_industry_has_been_badly_damaged.
qstr_The_downturn_continu The_downturn_continues_until_outside_conditions_improve,_but_the_city_prosperity_is_damaged.
qstr_The_projects_help_ti The_projects_help_tide_the_city_over_and_when_trade_improves,_the_prosperity_grows_even_further.
qstr_The_city_is_grateful The_city_is_grateful_for_your_hands-off_approach,_prosperity_is_everywhere_and_the_mood_is_generally_jovial.
qstr_You_set_an_example_d You_set_an_example,_donating_to_the_less_fortunate_and_paying_for_temple_repairs._The_trend_catches_on_among_the_community_now_flush_with_money_and_before_long_it_is_hard_to_find_a_destitute_person_anywhere_in_the_city._People_feel_good_about_themselves_and_as_the_leader_of_this_trend,_your_reputation_is_lifted_sky-high.
qstr_While_people_are_nev While_people_are_never_happy_parting_with_their_silver,_having_more_makes_it_tolerable._Now_is_the_best_time_as_any_to_put_a_new_tax_in_place._Your_treasury_is_prospering,_but_there_is_some_discontent_as_well.
qstr_The_philosopher_grin The_philosopher_grins_happily,_impressed_by_your_knowledge_of_Diogenes'_story._He_completes_the_exchange_as_per_the_fable,_asking_you_to_stand_out_of_his_sun._^^A_few_of_the_more_educated_citizens_smile,_recognizing_the_conversation_between_Diogenes_and_Alexander,_but_the_intricacy_is_lost_on_most_people_who_simply_see_you_having_an_odd_conversation_with_a_disrespectful_troublemaker_instead_of_punishing_him._The_plebs_do_not_like_this,_but_word_of_your_erudition_spreads_among_nobility.
qstr_At_your_command_the_ At_your_command_the_guards_use_sticks_to_administer_some_swift_and_harsh_Roman_justice._The_crowd_expected_this_and_is_happy_to_watch._The_whole_event_becomes_an_integral_part_of_the_day's_entertainment_and_no_more_than_a_curious_talking_point.
qstr_Administering_punish Administering_punishment_normally_reserved_for_grave_crimes_to_a_crazed_troublemaker_is_seen_as_harsh,_but_not_to_the_point_of_causing_unrest._The_crowd_is_split_between_those_who_cheer_and_revel_in_the_inclusion_of_some_unexpected_blood_in_the_theatrical_performance_and_those_uncomfortable_watching_the_man's_drawn-out_final_suffering_as_a_backdrop_to_a_comedy_performance._^^As_for_the_crazy_philosopher_himself,_his_eyes_burn_with_excitement,_and_he_even_laughs_at_some_of_the_jokes_performed_by_the_actors._Whether_he_hoped_for_it_or_not,_your_actions_fit_well_into_his_art,_and_history_may_remember_this_story.
qstr_{s22}_is_very_happy_ {s22}_is_very_happy_about_your_decision._He_gladly_takes_the_money.
qstr_Although_{s22}_recei Although_{s22}_received_only_half_of_the_demanded_amount,_he_is_still_happy_about_your_decision._He_gladly_takes_the_money.
qstr_{s22}_is_angry_about {s22}_is_angry_about_your_decision._He_starts_spreading_rumors_in_{s23}_about_your_tyrannical_rule_and_how_evil_the_state_as_a_whole_is.
qstr_The_priests_are_happ The_priests_are_happy_about_your_donation_and_spread_word_of_your_wisdom_and_wealth.
qstr_The_priests_are_happy The_priests_are_happy_about_your_donation,_although_its_less_than_the_expected_sum._They_spread_word_of_your_wisdom_and_wealth.
qstr_The_priests_are_angr The_priests_are_angry_and_spread_word_about_your_greed.
qstr_The_priesthood_is_pl The_priesthood_is_pleased_with_the_influx_of_additional_funds,_while_the_people_commend_your_generosity._Your_swift_and_decisive_actions_help_to_overshadow_the_tragedy,_restoring_a_sense_of_stability_and_hope_in_the_aftermath.
qstr_The_priesthood_is_ple The_priesthood_is_pleased_with_the_additional_funds,_but_the_people_had_hoped_for_more_recognition_of_their_losses._Despite_this,_your_actions_have_managed_to_somewhat_overshadow_the_tragedy,_bringing_a_measure_of_stability_and_hope_in_the_aftermath.
qstr_The_people_commend_y The_people_commend_your_generosity,_but_the_priesthood_is_discontented_by_the_perceived_lack_of_piety._Nonetheless,_your_actions_manage_to_somewhat_overshadow_the_tragedy,_bringing_a_degree_of_stability_and_hope_in_the_aftermath.
qstr_Your_investigation_q Your_investigation_quickly_spirals_into_a_chaotic_blame_game,_with_officials_pointing_fingers_at_one_another._In_the_end,_the_exact_cause_of_the_tragedy_remains_unclear._Worse_yet,_your_inquiry_backfires,_as_suspicions_of_corruption_begin_to_circle_around_you.
qstr_Your_decision_to_rem Your_decision_to_remain_inactive_sends_shockwaves_through_the_town._The_lack_of_leadership_fuels_anger_and_unrest_among_the_populace,_who_begin_to_see_you_as_indifferent_to_their_suffering._Rumors_of_negligence_and_corruption_spread_rapidly,_undermining_your_authority._The_tragedy_that_could_have_been_managed_now_threatens_to_spiral_into_full-blown_chaos.
qstr_The_outcome_of_the_t The_outcome_of_the_trial_has_seriously_shaken_the_people_of_{s4}_and_has_called_into_question_your_authority.
qstr_Your_renown_with_you Your_renown_with_your_warriors_suffers,_as_does_your_money_bag,_but_the_people_of_{s4}_seem_happy_with_the_money_you_have_given_them.
qstr_Your_men_push_the_cr Your_men_push_the_crowd,_injuring_some._Suddenly,_the_people_turn_against_them,_causing_some_casualties_before_being_dispersed.
qstr_You_run_through_the_ You_run_through_the_back_door_while_the_crowd_calls_you_a_coward_and_miser,_even_as_they_continue_to_beg_for_money.
qstr_Everyone_in_{s4}_thi Everyone_in_{s4}_thinks_you've_been_wise_and_just_to_find_the_mother_of_the_child_and_return_the_baby,_while_punishing_the_liar_without_being_influenced_by_her_wealth.
qstr_The_crowd_kills_the_ The_crowd_kills_the_rich_woman._The_rich_woman's_husband,_who_happens_to_be_a_large_landowner_in_{s4},_becomes_very_angry_with_you_and_damages_your_reputation.
qstr_The_poor_people_in_{s The_poor_people_in_{s4}_get_angry_when_you_give_the_child_to_a_rich_woman_without_making_a_sincere_determination._Some_disturbances_ending_in_violence_occur._During_the_fighting,_many_citizens_die_before_retiring,_but_you_also_lose_some_men.
qstr_To_arms!_Some_citize To_arms!_Some_citizens_have_revolted_and_try_to_kill_you!
qstr_Note_the_following:_ Note_the_following:_Before_you_exterminate_the_population,_you_should_take_out_the_whole_garrison,_otherwise,_it_will_be_disbanded_automatically.
qstr_Your_men_charge_down Your_men_charge_down_the_streets,_using_the_sword_at_the_slightest_provocation,_avenging_their_fallen_fellows._A_bloodbath_ensues_as_the_people_of_{s4}_flee_to_their_homes_to_hide.
qstr_Your_men_are_very_an Your_men_are_very_angry_that_you_have_taken_no_action_against_the_murder_of_their_fellows._Meanwhile,_local_leaders_try_to_quell_the_hatred_against_you_in_{s4}.
qstr_Mercilessly_your_men_ Mercilessly_your_men_kill_anyone_that_crosses_their_way,_then_enter_the_houses,_killing_all_men_over_14_years_of_age._The_fame_of_your_cruelty_travels_as_the_wind._Fear_seizes_all_who_talk_about_you._Now_{s4}_is_pacified,_but_the_cost_has_been_very_high.
qstr_Rumors_spread_throug Rumors_spread_through_the_Empire_that_you_are_a_tyrant.
qstr_You_are_despised_for You_are_despised_for_your_tyranny
qstr_Rumors_spread_through Rumors_spread_through_the_Empire_that_you_help_the_poor_and_supressed.
qstr_Stability_of_the_Empir Stability_of_the_Empire_increase
qstr_you_see_a_bush_burni you_see_a_bush_burning._Then_you_hear_a_voice._It_seems_that_the_bush_speaks_to_you,_but_you_can't_understand_a_single_word._Suddenly,_the_world_starts_to_rotate_and_everything_becomes_black._After_an_hour_you_awak._It_seems_some_of_your_skills_have_improved.
qstr_you_hear_some_birds_ you_hear_some_birds_sing_and_the_rustling_of_the_wind.
qstr_You_feel_more_streng You_feel_more_strengthend.
